site,location,land cover type,day of year,time of day,value,reference,remarks
example,London,built-up surface,10,13:00,0.1,[Kotthaus et al (2014)](https://www.sciencedirect.com/science/article/pii/S0924271614001233#),a sample concrete slab
CA-Qcu,Quebec-Eastern Boreal,Black Spruce / Jack Pine Cutover, 15th December, 12:00,0.907, https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/96JD03876 ,winter time
